지역,풍속,높이,풍하중
인천,24.86,101,548.2693622326932
인천,24.86,102,551.0072823816528
인천,24.86,103,553.7520217588788
인천,24.86,104,556.503580364371
원주,15.24,5,119.19899579508001
원주,15.24,6,119.98190991957121
원주,15.24,7,120.76738677442081
원주,15.24,8,121.55542635962881
원주,15.24,9,122.3460286751952
원주,15.24,10,123.13919372112002
원주,15.24,11,123.93492149740321
원주,15.24,12,124.73321200404483
원주,15.24,13,125.53406524104481
원주,15.24,14,126.3374812084032
원주,15.24,15,127.14345990612003
원주,15.24,16,127.95200133419522
원주,15.24,17,128.76310549262882
원주,15.24,18,129.57677238142082
원주,15.24,19,130.39300200057122
원주,15.24,20,131.21179435008
원주,15.24,21,132.0331494299472
원주,15.24,22,132.8570672401728
원주,15.24,23,133.6835477807568
원주,15.24,24,134.5125910516992
원주,15.24,25,135.34419705300002
원주,15.24,26,136.17836578465918
원주,15.24,27,137.01509724667682
원주,15.24,28,137.8543914390528
원주,15.24,29,138.6962483617872
원주,15.24,30,139.54066801488
원주,15.24,31,140.38765039833117
원주,15.24,32,141.2371955121408
원주,15.24,33,142.0893033563088
원주,15.24,34,142.94397393083523
원주,15.24,35,143.80120723572003
원주,15.24,36,144.6610032709632
원주,15.24,37,145.52336203656483
원주,15.24,38,146.38828353252478
원주,15.24,39,147.25576775884326
원주,15.24,40,148.12581471552
원주,15.24,41,148.99842440255523
원주,15.24,42,149.8735968199488
원주,15.24,43,150.75133196770076
원주,15.24,44,151.63162984581123
원주,15.24,45,152.51449045428004
원주,15.24,46,153.3999137931072
원주,15.24,47,154.2878998622928
원주,15.24,48,155.1784486618368
원주,15.24,49,156.07156019173917
원주,15.24,50,156.96723445200004
원주,15.24,51,157.86547144261917
원주,15.24,52,158.7662711635968
원주,15.24,53,159.6696336149328
원주,15.24,54,160.57555879662718
원주,15.24,55,161.48404670867998
원주,15.24,56,162.39509735109124
원주,15.24,57,163.30871072386083
원주,15.24,58,164.2248868269888
원주,15.24,59,165.1436256604752
원주,15.24,60,166.06492722432006
원주,15.24,61,166.9887915185232
원주,15.24,62,167.91521854308485
원주,15.24,63,168.84420829800482
원주,15.24,64,169.7757607832832
원주,15.24,65,170.70987599891998
원주,15.24,66,171.64655394491524
원주,15.24,67,172.58579462126883
원주,15.24,68,173.52759802798082
원주,15.24,69,174.4719641650512
원주,15.24,70,175.41889303248007
원주,15.24,71,176.36838463026717
원주,15.24,72,177.32043895841284
원주,15.24,73,178.27505601691684
원주,15.24,74,179.2322358057792
원주,15.24,75,180.19197832499998
원주,15.24,76,181.15428357457927
원주,15.24,77,182.11915155451683
원주,15.24,78,183.08658226481282
원주,15.24,79,184.05657570546722
원주,15.24,80,185.02913187648008
원주,15.24,81,186.00425077785115
원주,15.24,82,186.98193240958076
원주,15.24,83,187.96217677166882
원주,15.24,84,188.94498386411522
원주,15.24,85,189.93035368692
원주,15.24,86,190.91828624008318
원주,15.24,87,191.90878152360486
원주,15.24,88,192.90183953748482
원주,15.24,89,193.89746028172323
원주,15.24,90,194.89564375632
원주,15.24,91,195.8963899612752
원주,15.24,92,196.89969889658886
원주,15.24,93,197.90557056226083
원주,15.24,94,198.9140049582912
원주,15.24,95,199.92500208468
원주,15.24,96,200.93856194142728
원주,15.24,97,201.95468452853285
원주,15.24,98,202.97336984599676
원주,15.24,99,203.99461789381922
원주,15.24,100,205.018428672
원주,15.24,101,206.0448021805392
원주,15.24,102,207.07373841943675
원주,15.24,103,208.1052373886928
원주,15.24,104,209.13929908830724
울릉도,40.49,5,841.3916857238928
울릉도,40.49,6,846.9180530442612
울릉도,40.49,7,852.4625099466934
울릉도,40.49,8,858.0250564311891
울릉도,40.49,9,863.6056924977478
